age	male	unemp	black	hisp	educ2	educ3	educ4	educ5	educ6	income	union	pid	south	inctax	follow	agesq
42	1	0	0	0	0	1	0	0	0	8	0	1	1	66	3	1764
47	1	0	0	0	0	1	0	0	0	9	0	3	1	51	3	2209
70	0	0	0	0	0	1	0	0	0	9	0	5	1	96	3	4900
62	0	0	0	0	0	0	0	0	1	8	0	7	1	25	3	3844
61	0	0	0	0	0	0	0	1	0	13	0	3	1	3	3	3721
55	0	0	0	0	0	1	0	0	0	11	0	5	1	16	3	3025
68	0	0	0	0	0	1	0	0	0	9	0	7	1	26	3	4624
31	1	0	0	0	0	1	0	0	0	1	0	3	1	16	3	961
55	1	0	0	0	0	0	0	0	1	14	0	7	1	25	3	3025
52	1	0	0	0	1	0	0	0	0	9	0	5	1	38	3	2704
62	1	0	0	0	0	0	0	0	1	10	1	5	1	76	3	3844
36	1	0	0	0	1	0	0	0	0	11	0	7	1	75	3	1296
61	0	0	0	0	0	0	0	1	0	7	0	7	1	26	3	3721
52	1	0	0	0	1	0	0	0	0	8	0	6	1	6	3	2704
66	0	1	0	0	1	0	0	0	0	2	0	7	1	41	3	4356
66	0	0	0	0	0	0	1	0	0	7	0	6	1	99	3	4356
43	0	0	0	0	1	0	0	0	0	6	0	5	1	50	3	1849
64	0	0	1	0	0	1	0	0	0	7	0	1	1	51	3	4096
53	0	0	0	0	0	1	0	0	0	7	0	5	1	6	3	2809
48	0	1	0	0	0	1	0	0	0	9	0	1	1	98	3	2304
60	0	0	0	0	0	0	0	1	0	6	0	6	1	96	2	3600
31	0	0	0	0	0	0	0	1	0	9	0	2	1	51	2	961
46	0	0	0	1	0	0	0	0	0	5	0	2	1	28	1	2116
51	1	0	1	0	0	1	0	0	0	10	0	1	1	50	3	2601
36	0	1	0	0	1	0	0	0	0	3	0	7	1	37	1	1296
53	0	0	0	0	0	1	0	0	0	3	0	5	1	76	3	2809
48	1	1	0	0	0	0	0	1	0	2	0	3	1	50	3	2304
70	1	0	0	0	1	0	0	0	0	6	0	5	1	51	3	4900
50	0	0	1	0	0	0	1	0	0	3	0	1	1	75	3	2500
58	1	0	0	0	0	0	1	0	0	12	0	5	1	26	2	3364
59	0	0	0	0	0	0	0	1	0	10	0	3	1	97	3	3481
66	1	0	0	0	0	1	0	0	0	8	0	1	1	25	3	4356
23	0	0	0	1	0	1	0	0	0	8	0	5	1	43	2	529
47	1	0	1	0	0	0	0	0	1	12	0	5	1	26	3	2209
73	0	0	0	0	0	0	1	0	0	2	0	6	1	49	3	5329
43	0	0	0	0	0	0	0	1	0	10	0	7	1	2	3	1849
56	1	0	0	0	0	1	0	0	0	6	0	1	1	32	3	3136
54	0	0	0	0	1	0	0	0	0	11	0	7	1	48	3	2916
68	1	0	0	0	0	0	0	1	0	9	0	6	1	26	3	4624
51	0	0	0	0	0	0	1	0	0	6	1	1	1	63	3	2601
60	1	0	0	0	0	0	1	0	0	10	0	6	1	64	3	3600
31	1	1	1	0	0	0	0	1	0	2	0	1	1	50	2	961
58	1	0	0	0	0	1	0	0	0	8	0	5	1	26	3	3364
42	0	0	0	0	1	0	0	0	0	5	0	4	1	7	2	1764
52	1	0	0	0	0	1	0	0	0	6	0	7	1	4	3	2704
49	1	0	0	0	0	0	0	1	0	6	0	5	1	51	3	2401
62	1	0	0	0	0	0	0	1	0	8	0	6	1	50	3	3844
63	0	0	0	0	0	1	0	0	0	11	0	1	1	27	3	3969
77	0	0	0	0	1	0	0	0	0	4	0	7	1	51	3	5929
55	1	0	0	0	0	0	0	1	0	12	1	4	1	0	3	3025
32	0	0	0	0	0	1	0	0	0	6	0	1	1	50	2	1024
47	0	0	0	0	0	1	0	0	0	8	0	2	1	60	2	2209
76	1	0	0	0	0	0	0	1	0	9	0	5	1	75	3	5776
53	0	0	0	0	0	1	0	0	0	4	0	7	1	49	3	2809
18	0	0	0	0	0	1	0	0	0	6	0	5	1	51	0	324
42	1	0	0	0	0	0	0	0	0	8	0	5	1	51	3	1764
56	0	0	0	0	1	0	0	0	0	12	0	5	1	25	3	3136
62	1	0	0	0	0	1	0	0	0	10	0	5	1	26	3	3844
48	1	0	0	0	1	0	0	0	0	9	0	7	1	4	3	2304
65	1	0	0	0	0	1	0	0	0	6	0	2	1	97	3	4225
47	0	0	0	0	0	0	1	0	0	7	0	5	1	13	3	2209
59	0	0	0	0	0	1	0	0	0	6	0	2	1	51	2	3481
62	0	0	0	0	0	1	0	0	0	2	0	3	1	50	3	3844
64	0	0	0	0	0	0	0	1	0	9	0	7	1	4	3	4096
75	0	0	0	0	1	0	0	0	0	7	0	5	1	85	3	5625
69	0	0	0	0	1	0	0	0	0	7	0	6	1	89	2	4761
43	1	0	0	0	0	1	0	0	0	6	0	4	1	51	3	1849
64	1	0	0	0	0	0	0	1	0	13	0	7	1	32	3	4096
70	1	0	0	0	1	0	0	0	0	6	0	7	1	50	3	4900
48	0	0	1	0	0	0	1	0	0	2	0	1	1	3	3	2304
85	1	0	0	0	1	0	0	0	0	4	0	1	1	51	3	7225
52	0	0	1	0	1	0	0	0	0	4	0	2	1	4	1	2704
52	0	0	1	0	0	1	0	0	0	14	0	1	1	51	3	2704
52	0	0	0	0	0	0	0	1	0	12	0	5	1	38	3	2704
50	1	0	0	0	1	0	0	0	0	5	0	4	1	50	3	2500
47	0	0	0	0	0	1	0	0	0	9	0	5	1	45	3	2209
24	0	0	0	0	1	0	0	0	0	4	0	4	1	7	3	576
47	0	0	0	0	0	1	0	0	0	9	0	5	1	4	3	2209
39	0	0	1	0	0	1	0	0	0	9	0	2	1	27	0	1521
61	0	0	0	0	1	0	0	0	0	5	0	7	1	51	3	3721
66	0	0	0	0	0	1	0	0	0	7	0	7	1	3	3	4356
64	1	0	0	0	0	0	0	1	0	8	0	4	1	51	3	4096
67	0	0	0	0	0	1	0	0	0	8	0	5	1	50	3	4489
45	1	0	0	0	0	1	0	0	0	12	0	5	1	1	3	2025
50	0	0	0	0	0	0	1	0	0	13	0	6	1	38	3	2500
55	0	0	0	0	1	0	0	0	0	10	0	7	1	30	3	3025
51	0	0	0	0	0	0	1	0	0	13	0	6	1	16	2	2601
36	1	1	0	0	1	0	0	0	0	5	0	2	1	47	1	1296
52	1	1	0	0	0	0	0	1	0	6	0	7	1	11	3	2704
60	0	0	0	0	0	0	0	1	0	6	0	7	1	67	3	3600
36	0	0	1	0	0	0	0	1	0	5	0	2	1	51	2	1296
41	0	0	0	0	1	0	0	0	0	10	1	2	1	51	3	1681
65	0	0	0	0	0	1	0	0	0	9	0	2	1	35	3	4225
59	0	0	0	0	0	0	0	1	0	12	0	7	1	51	3	3481
42	1	0	0	0	0	1	0	0	0	11	0	7	1	47	3	1764
58	1	0	0	0	0	1	0	0	0	6	0	2	1	16	2	3364
75	0	0	0	0	1	0	0	0	0	6	0	2	1	6	2	5625
60	0	0	0	0	0	0	0	1	0	9	0	4	1	76	2	3600
73	0	0	0	0	0	1	0	0	0	8	0	5	1	48	3	5329
49	0	0	0	0	0	0	0	1	0	9	0	5	1	20	2	2401
43	0	0	0	0	0	0	0	1	0	11	0	3	1	26	0	1849
38	0	0	0	0	0	0	0	1	0	1	0	6	1	34	0	1444
38	1	1	0	0	0	1	0	0	0	9	0	7	1	24	1	1444
56	1	0	0	0	0	1	0	0	0	3	0	7	1	32	3	3136
69	1	0	0	0	0	1	0	0	0	11	0	5	1	60	3	4761
59	0	0	0	0	0	0	1	0	0	10	0	7	1	1	3	3481
67	1	0	0	0	0	0	0	1	0	10	0	7	1	93	3	4489
