income	ideo	ruling	age	male	black	hisp	soph	sclaw	college
12	2	1	59	1	0	1	10	5	0
9	2	1	41	0	1	0	6	2	0
5	2	1	46	0	0	0	3	4	0
1	1	0	31	0	0	1	3	3	0
9	2	1	51	1	0	0	10	2	1
6	3	1	76	0	0	0	5	4	0
11	1	1	55	0	0	0	5	2	1
4	2	0	36	1	0	0	5	1	0
10	2	1	55	0	0	0	4	2	0
13	2	1	62	0	0	1	10	1	1
3	3	0	51	0	0	0	2	3	0
11	2	1	39	0	0	0	6	5	1
3	2	1	36	0	0	0	6	4	0
8	2	1	53	0	0	0	7	1	1
3	1	1	46	1	1	0	7	1	0
9	3	1	65	0	0	0	6	3	0
2	2	1	73	0	0	0	4	5	0
2	2	0	52	0	0	0	3	5	0
10	2	1	47	0	0	0	4	2	1
11	1	1	22	0	0	0	10	1	1
15	2	1	51	0	1	0	5	4	0
6	2	0	70	1	0	0	9	1	0
15	3	1	51	1	0	0	9	1	1
15	2	1	26	0	0	0	4	5	1
5	2	1	73	1	0	0	10	4	0
14	3	1	36	0	1	0	6	2	1
2	2	1	28	1	0	0	10	2	1
6	3	1	57	1	0	0	4	2	0
9	3	0	51	0	0	0	4	2	0
9	3	0	42	0	0	1	3	4	0
2	3	0	43	0	0	0	4	2	0
7	3	0	60	1	0	0	4	2	0
11	2	1	38	0	0	0	5	4	1
1	2	1	49	0	0	0	2	5	1
4	2	1	47	0	1	0	3	4	0
10	3	1	70	0	0	0	9	5	0
7	3	1	28	0	0	0	3	3	0
10	2	1	52	1	0	0	5	3	0
9	2	1	47	1	1	0	9	2	1
11	3	1	58	0	0	0	9	4	0
7	2	0	30	0	0	0	3	4	0
5	2	1	81	1	0	0	7	5	0
12	2	1	27	1	0	0	10	2	1
1	2	1	34	0	1	0	6	2	1
15	3	1	61	1	0	0	8	4	0
1	3	1	52	1	0	0	9	1	0
1	2	1	29	0	1	0	1	3	0
12	3	1	35	0	0	0	8	3	1
1	3	1	41	0	0	0	1	2	0
7	4	0	74	1	0	1	1	4	0
8	3	1	56	1	0	0	5	5	0
7	4	1	55	0	0	0	4	4	0
7	3	1	56	0	0	0	6	2	1
9	3	1	65	0	0	0	3	3	0
10	3	0	43	1	0	0	3	1	0
14	2	1	38	1	0	0	9	3	1
11	3	1	56	1	0	1	10	4	1
13	3	1	59	0	0	0	10	4	1
10	2	1	47	1	1	0	7	2	0
15	2	1	30	1	0	0	9	1	1
7	3	1	55	0	0	0	8	5	0
1	1	0	31	0	0	0	5	1	0
9	4	0	34	0	0	1	3	2	0
1	1	1	28	1	0	0	9	1	1
4	3	1	48	1	0	0	10	4	0
10	3	0	45	1	0	1	6	3	1
9	3	1	56	1	0	0	5	5	0
7	3	1	46	0	0	0	7	5	0
1	2	1	23	1	0	0	10	2	1
3	3	0	58	0	0	0	3	2	0
11	3	1	44	0	0	0	10	1	1
6	3	1	47	1	0	0	3	2	0
13	2	1	35	1	0	0	10	5	0
14	3	0	40	1	0	0	10	2	1
14	1	1	66	0	0	0	10	2	1
1	4	0	56	0	0	0	1	3	0
3	3	1	62	0	1	0	3	2	1
8	2	1	43	0	0	0	2	3	0
1	5	1	35	0	1	0	5	4	0
9	2	1	26	0	0	0	7	2	1
10	3	1	73	0	0	0	7	1	0
12	3	1	35	0	0	0	8	2	1
7	3	1	47	0	1	0	3	3	0
5	3	1	77	0	0	0	5	3	0
11	2	1	72	1	0	0	10	5	1
1	4	1	32	0	1	0	4	1	1
10	3	1	55	1	0	0	5	3	0
14	1	1	43	0	0	0	10	3	1
2	2	1	27	0	0	0	4	2	1
13	3	1	65	1	0	0	9	2	1
7	2	1	32	1	0	0	10	1	1
6	3	1	41	1	0	0	5	4	0
9	3	1	58	1	1	0	7	2	0
7	1	1	47	1	0	0	9	4	1
1	3	0	50	1	0	1	7	1	0
3	2	0	52	0	0	0	5	4	0
10	2	1	33	0	0	0	8	3	1
13	3	1	47	1	0	0	9	1	0
2	3	1	56	0	0	0	5	2	0
6	2	1	54	1	0	0	10	5	0
15	3	1	27	0	0	0	5	2	1
6	3	1	61	1	0	0	4	2	0
5	3	0	49	0	1	0	4	5	1
8	3	1	49	0	0	0	8	1	0
6	3	1	41	0	1	0	6	5	0
14	1	1	22	1	0	0	10	1	1
8	1	1	26	1	0	0	8	2	1
6	4	1	58	0	1	0	6	1	0
12	2	1	27	1	0	0	10	1	1
15	5	1	62	1	0	0	7	5	0
4	3	1	44	1	0	0	2	4	0
8	3	0	29	1	0	0	5	4	0
6	4	1	49	0	1	0	9	5	0
8	2	1	23	0	0	0	4	4	0
8	1	1	47	0	0	0	8	2	0
3	1	1	28	1	0	1	10	5	0
4	1	1	39	0	0	0	9	2	1
13	3	1	54	0	1	0	7	1	0
11	2	1	48	0	0	0	4	2	0
7	4	1	57	1	0	0	1	4	0
5	3	1	57	0	0	0	6	2	0
7	3	1	72	0	0	0	9	4	1
6	3	0	58	0	1	0	3	2	0
2	2	1	30	1	0	0	10	5	1
8	3	1	57	1	0	0	9	5	0
7	3	1	69	0	0	0	5	2	0
6	3	1	47	0	0	1	6	4	0
1	3	0	46	0	1	0	3	5	0
2	2	1	23	1	0	0	10	1	1
9	3	1	53	0	0	0	7	4	0
8	1	1	62	1	1	0	7	1	0
6	3	0	69	0	0	0	5	2	0
9	2	1	27	1	0	0	6	2	1
14	3	1	42	1	0	0	10	1	1
14	2	1	59	1	1	0	9	5	1
8	2	1	57	0	0	0	6	2	1
9	3	1	56	0	1	0	9	3	1
9	5	1	33	1	0	0	3	2	1
7	3	1	26	1	0	0	8	1	0
15	3	1	62	0	0	0	4	3	0
5	5	0	32	0	0	0	0	1	1
1	3	0	21	0	1	0	2	1	0
13	2	0	50	0	1	0	4	3	1
9	2	1	48	0	0	0	5	5	1
8	3	1	73	0	0	0	7	2	0
9	4	1	57	1	0	0	4	1	0
3	3	1	65	0	0	0	8	2	0
6	3	1	34	0	0	0	1	2	0
9	1	1	74	1	1	0	10	4	0
1	1	1	46	1	0	0	10	4	0
10	3	1	49	0	0	0	10	4	1
15	4	0	68	0	0	0	4	3	0
14	3	1	45	1	1	0	10	3	1
12	2	1	50	0	0	0	8	1	1
14	3	1	49	0	0	0	5	4	1
11	2	1	42	1	0	0	10	1	1
12	2	1	72	0	0	1	10	1	1
8	3	1	54	0	0	0	1	4	0
6	3	1	65	0	0	0	6	3	0
12	2	1	40	0	0	0	5	2	1
2	2	1	28	0	0	0	5	4	0
6	2	1	74	0	0	0	9	4	0
11	3	1	54	0	0	0	9	1	1
6	1	1	43	0	0	0	4	2	0
15	2	1	28	1	0	0	6	2	1
14	3	1	56	0	0	0	9	4	1
5	3	1	70	1	0	0	10	2	0
8	2	1	55	1	1	0	10	2	0
6	3	1	35	0	0	0	4	1	0
7	4	1	60	1	0	1	5	1	0
2	1	1	25	0	1	0	10	2	1
1	3	1	27	0	1	0	4	2	1
13	3	1	46	1	0	0	10	1	1
13	3	1	58	1	0	0	7	2	1
12	3	1	46	0	0	0	10	2	0
8	1	1	37	0	0	0	8	2	0
7	2	1	35	0	0	0	3	1	0
7	1	1	54	1	1	0	6	1	0
14	2	1	46	1	0	0	10	1	1
2	3	0	61	0	0	0	3	3	0
11	3	1	59	1	0	0	10	1	1
8	3	1	41	0	0	1	9	1	1
11	3	1	51	1	1	0	10	4	1
6	4	1	57	1	1	0	5	1	0
15	2	1	58	0	0	0	10	5	1
4	3	1	38	0	1	0	3	1	1
10	4	1	33	0	0	0	3	2	1
9	1	1	44	0	0	0	6	4	0
5	4	0	36	0	1	0	1	3	1
6	3	0	26	0	1	0	2	1	1
7	1	1	41	0	0	0	9	5	1
15	3	1	36	0	0	0	6	4	1
7	3	1	62	0	0	0	8	2	0
5	3	1	36	0	0	0	9	1	0
8	2	1	29	1	0	1	2	5	1
15	3	0	50	1	0	0	4	3	0
11	2	1	39	0	0	1	7	2	1
3	3	1	29	1	0	0	10	2	1
3	1	1	31	0	0	0	8	2	0
15	2	1	49	1	0	0	10	3	0
6	2	1	47	1	1	0	9	4	0
6	3	0	41	1	1	0	6	5	1
13	2	0	72	1	1	0	1	3	0
11	3	1	48	0	0	0	10	4	1
10	2	1	64	1	0	0	8	5	0
8	2	1	31	0	0	0	6	2	1
1	4	0	33	0	0	0	2	1	0
8	3	1	50	0	0	0	6	2	1
7	2	1	55	0	1	0	3	2	0
7	3	1	46	1	1	0	0	3	0
15	3	1	55	1	0	0	3	1	0
12	3	1	67	1	1	0	10	1	1
6	3	1	63	1	0	0	8	1	0
4	1	0	25	0	0	1	3	3	0
7	3	1	74	0	0	0	3	2	1
7	1	1	46	1	0	0	9	2	1
13	3	1	23	1	0	0	10	4	1
6	2	1	28	0	0	0	3	3	0
6	3	1	27	0	0	1	5	1	1
13	2	1	65	1	0	1	10	2	0
8	3	1	49	1	0	0	10	1	0
15	2	1	52	1	0	1	9	1	0
10	1	1	72	0	0	0	4	2	0
1	3	1	51	1	0	0	8	3	0
