south	male	age01	unemp	union	income01	auth01	extrav01	agree01	consc01	stable01	openness01	econ01	educ1	educ2	educ3	educ4	educ5
0	1	.5	0	0	.2962963	.5	.4166667	.8333333	.5833333	.5	.5	.4666667	0	0	0	0	1
0	1		0	1	.962963	0	.3333333	.8333333	1	1	.5833333	.3333333	0	0	0	1	0
0	1	.5	0	1	.962963	.75	.6666667	.8333333	.8333333	.8333333	.5833333	.4	0	0	0	0	1
0	0	.75	0	0	.8518519	.5	.6666667	.8333333	.4166667	.6666667	.5	.5666667	0	0	1	0	0
0	0	.6666667	0	0	.5185185	.75	.5	.6666667	.8333333	.3333333	.5833333	.375	0	0	1	0	0
0	0	.6666667	0	1	.8888889	.5	.8333333	.5833333	.8333333	.5	.9166667	.0333333	0	0	0	1	0
0	1	.75	0	0	.7442994	.875	.6666667	.6666667	.9166667	.3333333	.8333333	.2333333	0	0	0	0	1
0	1	.5833333	0	0	.9259259	.25	1	.4166667	.9166667	.75	.6666667	.0333333	0	0	0	0	1
0	0	.75	0	0	.2222222	1	.5	.5	.5	.5	.5	.5	0	1	0	0	0
1	0	.25	0	0	.2605679	.625	.3333333	.4166667	.3333333	.4166667	.5833333	.5555556	1	0	0	0	0
1	1	.1666667	0	0	.2962963	.5	.75	.5	.5833333	.4166667	.75	.3333333	0	0	1	0	0
1	0	.25	0	0	0	.5	.5	.5	.5	.5	.5	.2222222	0	1	0	0	0
1	1	.1666667	0	0	.3703704	.625	.6666667	.5833333	.75	.5833333	.6666667	.4583333	0	1	0	0	0
1	0	1	0	0	.037037							.5	1	0	0	0	0
1	1	1	0	0	.4444444	1	.6666667	.5833333	.5	.4166667	.5	.25	1	0	0	0	0
1	1	.5833333	0	0	.5195897							.6111111	0	0	1	0	0
1	1	.5833333	0	0	.2962963	1	.3333333	.6666667	.8333333	.9166667	.5	.375	0	0	1	0	0
1	0	1	0	0	.4987469	.625	.4166667	.6666667	.3333333	.75	.9166667	.2333333	0	0	1	0	0
1	1	.6666667	0	0	.4814815	.625	.5	.5833333	.8333333	.4166667	.5833333	.375	1	0	0	0	0
0	1	.5833333	0	0	.0740741	.25	.75	.8333333	.8333333	.5	1	.7333333	0	0	1	0	0
0	0	.5833333	0	0	.5841051		.1666667	.5833333	.6666667	.3333333	.9166667	.5	0	0	0	1	0
0	0	.75	1	0	.2592593	.875	.75	.6666667	.9166667	.5833333	.8333333	.1	0	0	0	1	0
0	0	.25	0	0	.7777778	0	.8333333	.4166667	1	.3333333	.75	.5	0	1	0	0	0
0	0	.25	0	0	.9259259	.75	.75	.9166667	.3333333	.9166667	.5	.4	0	0	0	1	0
0	1	.75	1	0	.8888889	.75	.8333333	.4166667	1	.9166667	.75	0	0	0	0	1	0
0	0	.25	0	0	.5925926	.75	.6666667	.6666667	.75	.5	.6666667	.4666667	0	0	1	0	0
0	1	.4166667	0	0	.5124884	.75	.6666667	.5833333	.6666667	.5833333	.4166667	.2916667	0	0	1	0	0
0	0	.25	0	0	.6296296	.5	.6666667	.6666667	.9166667	.6666667	.8333333	.4166667	0	0	1	0	0
0	1	.8333333	0	0	.5925926	.25	.6666667	.5	.6666667	.75	.5	.5333334	0	0	0	1	0
0	1	1	0	0	.5185185	.375	.5	.75	.6666667	.75	.5	.7666667	0	0	0	0	1
0	1	.3333333	0	0	.7777778	.75	.8333333	.0833333	.5	.9166667	.6666667	.0666667	1	0	0	0	0
0	0	.5	0	0	.3703704	.5	1	.8333333	.5833333	1	1	.8	1	0	0	0	0
0	0	.5	1	0	.6296296	.5	.3333333	.5833333	.9166667	.8333333	.5833333	.3333333	0	0	0	1	0
0	1	.0833333	0	0	.4982857	1	.3333333	.5	1	.4166667	.75	.4333333	0	0	1	0	0
0	0	1	0	0	.5030813	0	.4166667	.75	.5	.6666667	.5	.7666667					
0	1	.0833333	0	0	.4982857	.75	.1666667	.4166667	1	.75	.4166667	.2666667	0	0	1	0	0
0	0	.4166667	0	0	.7407407	.75	.6666667	.8333333	.8333333	.75	.5833333	.1	0	0	1	0	0
0	0	.5833333	0	0	.7407407	.75	.6666667	.8333333	.8333333	.8333333	.75	.3333333	0	0	1	0	0
0	0	.1666667	0	1	.3703704	.75	.4166667	.5833333	.6666667	.5	.5833333	.2	0	1	0	0	0
0	1	.4166667	0	1	.8148148	.5	.6666667	.8333333	.9166667	.6666667	.4166667	.25	0	1	0	0	0
0	1	0	0	0	.8888889	.5	.5	.6666667	.9166667	.4166667	.6666667	.3	0	1	0	0	0
0	1	.5833333	0	0	.6666667							1	0	1	0	0	0
