countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
1	.736	53899	.0946723	.0754883	.0166517	.1796678	.024062	.4065	1.025281
2	.753	51321	.1278165	.0765757	.0111508	.0942108	.0414153	.437	1.114677
3	.504	34041	.0537283	.1299205	.0125143	.4563639	.0487911	.4536	.0160004
4	.724	40506	.0520531	.0960665	.0568858	.2260617	.0164864	.4064	.9643904
5	.84	45404	.0487399	.0910663	.0112628	.0133357	.0783164	.4176	1.658228
6	.257	31955	.0602188	.1553541	.0316489	.7004689	.062885	.5268	-1.06162
7	.565	31273	.0572867	.1208361	.02089	.4358101	.0043624	.4566	.2614797
8	.657	39467	.0645927	.1203009	.0188359	.2033686	.0316289	.454	.6499536
9	.539	32186	.0463418	.1491096	.0095856	.3924364	.0157091	.4376	.1563174
10	.749	37833	.046826	.1290946	.0205944	.0491499	.01282	.4477	1.093286
11	.785	40418	.0511463	.111401	.0174479	.0932465	.0702514	.4481	1.295046
12	.556	29668	.055018	.1446997	.0122888	.4174154	.011019	.5128	.2249437
13	.731	35410	.0448251	.1091342	.0065102	.1579586	.0269807	.4108	.9997021
14	.803	38785	.0381695	.1247993	.0094186	.0370943	.0197567	.4209	1.405151
15	.741	42065	.0888645	.0730412	.0087771	.1729343	.0593446	.4527	1.051172
16	.593	40247	.0770219	.0848028	.0095422	.1608172	.020467	.4411	.3763812
17	.788	33544	.0557028	.0955136	.0156695	.1252915	.0132499	.4898	1.312912
18	.687	38041	.0467068	.0929265	.0276106	.2246377	.013847	.477	.786131
19	.818	38703	.0599033	.0883532	.0089912	.0085861	.0413977	.4458	1.502856
20	.719	45491	.0763221	.0849437	.0114629	.192528	.0543269	.4189	.9395066
21	.326	26909	.0509483	.170646	.0230592	.6877223	.0072034	.5189	-.7263327
22	.748	36853	.0394856	.0986485	.0167965	.0157772	.1288806	.454	1.087974
23	.751	54831	.0940985	.0884383	.0133167	.1992854	.0263349	.413	1.103953
24	.639	31638	.0545942	.1167386	.0138528	.3170348	.0192484	.4606	.5710265
25	.684	37772	.063733	.1024372	.0116132	.1500154	.0323463	.4514	.7722158
26	.688	35831	.0502664	.0814774	.0104234	.0403083	.1400799	.4484	.7907857
27	.808	35237	.0464235	.0865252	.0149651	.0959619	.032913	.4673	1.437067
