postcasey	ideology	libvote	caseyprov	scmedian
0	.29	1	0	-.0529172
0	.535	1	0	-.0529172
0	-.388	1	0	-.0529172
0	-.388	0	0	-.0529172
0	.535	0	0	-.0529172
0	.29	0	0	-.0529172
0	.625	1	0	.0681376
0	-.388	1	0	.0681376
0	-.24	1	0	.0681376
0	-.257	1	0	.0681376
0	.5275	1	0	.0681376
0	-.235	1	0	.0681376
0	.225	1	0	.0681376
0	.001	1	0	.0681376
0	.535	1	0	.0681376
0	.143	1	0	.1298232
0	-.053	1	0	.1298232
0	.3005	1	0	.210701
0	-.0375	1	0	.210701
0	-.2015	1	0	.210701
0	-.388	0	0	.210701
0	-.24	0	0	.210701
0	.625	0	0	.210701
0	-.137	0	0	.210701
0	.382	0	0	.210701
0	.196	0	0	.210701
0	.379	1	0	.0781752
0	-.297	1	0	.0781752
0	-.297	1	0	.0781752
0	-.297	1	1	.0781752
0	-.297	1	1	.0781752
0	.379	1	1	.0781752
0	.135	0	0	.0781752
0	.2175	0	0	.0781752
0	.2175	0	0	.0781752
0	-.463	1	0	.0781752
0	-.396	1	0	.0781752
0	.379	1	0	.0781752
0	.535	0	0	.0781752
0	-.292	0	0	.0781752
0	-.199	0	0	.0781752
0	.382	1	0	.0781752
0	.3405	1	0	.0781752
0	.196	1	0	.0781752
0	.483	1	1	.0781752
0	-.014	1	1	.0781752
0	.625	1	1	.0781752
0	.5275	0	0	.0781752
0	-.235	0	0	.0781752
0	-.166	0	0	.0781752
0	.593	1	0	.0781752
0	.597	1	0	.0781752
0	.143	1	0	.0781752
0	-.166	1	0	.0781752
0	-.297	1	0	.0781752
0	-.463	1	0	.0781752
0	-.388	1	0	.080053
0	.625	1	0	.080053
0	-.014	1	0	.080053
0	-.463	1	0	.080053
0	-.396	1	0	.080053
0	-.37	0	0	.080053
0	-.058	0	0	.080053
0	.126	0	0	.080053
0	-.257	0	0	.080053
0	-.05	0	0	.080053
0	.2175	0	0	.080053
0	.135	0	0	.080053
0	-.388	1	0	.080053
0	.483	1	0	.080053
0	-.014	1	0	.080053
0	.385	1	0	.080053
0	.143	0	0	.080053
0	.143	1	0	.080053
0	.597	1	0	.080053
0	.143	1	0	.080053
0	.593	0	0	.080053
0	-.053	0	0	.080053
0	.597	1	0	.080053
0	-.053	1	0	.080053
0	.52	0	1	.080053
0	.488	0	1	.080053
0	.225	0	1	.080053
0	-.1375	0	0	.080053
0	-.013	0	0	.080053
0	-.388	0	0	.080053
0	.369	0	0	.080053
0	.2175	0	0	.080053
0	-.166	0	0	.080053
0	-.05	1	1	.080053
0	.2175	1	1	.080053
0	-.166	1	1	.080053
0	.3005	1	0	.080053
0	-.166	1	0	.080053
0	-.0325	1	0	.080053
0	-.137	0	0	.080053
0	.382	0	0	.080053
0	.196	0	0	.080053
0	-.292	0	1	.0564894
0	.203	0	1	.0564894
0	-.422	0	1	.0564894
0	.5275	1	1	.0564894
0	.126	1	1	.0564894
0	-.297	1	1	.0564894
0	.4535	0	1	.0564894
0	-.396	1	1	.0564894
0	-.358	1	0	.0419557
0	-.388	1	0	.0419557
0	-.147	1	0	.0419557
0	.4535	0	0	.0419557
0	-.463	0	0	.0419557
0	-.297	0	0	.0419557
0	-.014	1	0	-.0291639
0	-.014	1	0	-.0291639
0	-.014	1	0	-.0291639
0	.113	1	1	-.0291639
