south	male	union	hisp	black	income01	tpid
1	0	0	0	1	.037037	0
1	1	0	0	1	.2075856	0
1	0	0	0	1	.0740741	0
1	0	0	0	1	.037037	0
1	1	0	0	1	.4444444	0
1	1	0	0	1	.037037	1
1	0	0	0	1	0	0
1	0	0	0	1	0	0
1	0	0	0	1	.4402006	0
0	1	0	0	0	.2962963	2
0	1	1	0	0	.962963	2
0	1	1	0	0	.962963	2
0	0	0	0	0	.8518519	0
0	0	0	0	0	.5185185	1
0	0	1	0	0	.8888889	2
0	1	0	0	0	.7442994	2
0	1	0	0	0	.9259259	2
0	0	0	0	0	.2222222	0
1	0	0	0	0	.2605679	2
1	0	0	0	0	.2222222	0
1	1	0	0	0	.2962963	2
1	0	0	0	0	0	0
1	1	0	0	0	.3703704	0
1	0	0	0	0	.037037	0
1	1	0	0	0	.4444444	1
1	1	0	0	0	.5195897	0
1	1	0	0	0	.2962963	2
1	0	0	0	0	.4987469	2
1	1	0	0	0	.4814815	1
0	1	0	0	0	.0740741	0
0	0	0	0	1	.8148148	0
0	0	1	0	0	.6296296	0
0	0	1	0	1	.2962963	0
0	0	0	1	0	.3196698	0
0	1	1	1	0	.5185185	0
0	0	0	1	0	.1111111	1
0	0	0	1	0	.4444444	0
0	0	0	1	0	.1111111	0
0	0	0	1	0	.3703704	0
0	0	0	1	0	0	1
0	0	0	0	0	.9259259	2
0	0	0	0	0	.5841051	0
0	0	0	1	0	.8148148	0
0	0	0	0	0	.2592593	2
0	0	0	0	0	.7777778	2
0	0	0	0	0	.3703704	2
0	0	0	0	0	.9259259	2
0	1	0	0	0	.8888889	2
0	0	0	0	0	.5925926	2
0	0	0	0	0	.6666667	2
0	1	0	1	0	.4444444	0
0	1	0	0	0	.5124884	2
0	0	0	1	0	.8148148	2
0	0	0	0	0	.6296296	1
0	1	0	0	0	.4072349	1
0	1	0	1	0	.5925926	0
0	0	0	1	0	.3703704	2
0	0	0	1	0	.5185185	0
0	1	0	0	0	.5925926	0
0	1	0	0	0	.5185185	0
0	1	0	0	0	.7777778	2
0	1	1	0	0	.6666667	0
0	0	0	0	0	.3703704	0
0	0	0	0	0	.6296296	2
0	1	0	0	0	.4982857	2
0	0	0	0	0	.2962963	1
0	0	0	0	0	.5030813	0
0	0	0	1	0	.6296296	0
0	1	0	1	0	.2222222	0
0	0	0	0	0	.4845442	0
0	1	0	1	0	.4326547	0
0	1	1	1	0	.2962963	0
0	1	0	0	0	.4982857	1
0	0	0	1	0	.2568973	0
0	0	0	0	0	.7407407	2
0	0	0	1	0	.5688186	0
0	0	0	0	0	.7407407	2
0	0	1	0	0	.3703704	1
