tcount	years	tdem	avgpop
877	35	2	5.499794
18	35	2	3.284956
16	34	0	2.313602
82	25	0	1.694837
72	35	2	1.875284
16	35	2	.8446889
10	35	2	.1465414
1	35	2	-1.348133
218	35	1	4.35758
0	24	2	-1.587894
1030	35	1	2.086283
155	35	1	1.463159
3037	35	1	1.592142
754	35	1	1.223178
19	35	2	1.004116
87	35	1	.8047655
4153	35	2	3.425905
119	35	2	2.854149
11	22	0	-.2811571
19	29	1	-.9341357
125	33	1	2.208466
3798	33	1	2.984838
114	35	1	4.936069
225	35	1	1.830277
12	35	1	1.363831
1756	35	1	2.518164
422	35	1	3.440826
26	35	1	1.121137
1305	35	2	4.050646
40	35	2	1.246409
29	35	2	2.687052
36	35	2	2.299772
9	35	2	-.9506494
673	35	2	3.975509
35	35	2	1.910853
1944	35	1	3.641161
46	34	1	2.287982
160	14	2	4.403559
19	35	1	3.602316
38	35	2	2.049318
29	35	1	2.343524
9	12	2	2.330926
31	12	2	1.683757
910	35	2	4.035325
9	35	2	-1.026201
45	35	1	1.08118
1	6	1	2.036857
55	12	2	.6900353
407	35	1	2.291224
47	22	2	-.3434626
24	35	1	2.139857
1	35	1	3.097453
28	6	0	4.974143
27	14	2	2.039074
8	14	2	1.133707
19	14	2	3.910862
73	13	0	1.777577
67	14	2	1.598412
12	14	1	3.173812
1	11	0	2.739253
4	35	2	1.544735
29	35	2	2.142498
1	35	2	1.437859
11	35	2	1.641328
0	35	2	-1.401156
0	15	2	-.9516594
4	30	1	-.0331878
2	33	0	-.2065166
18	35	1	2.046446
50	35	1	1.976686
5	34	1	1.48523
2	34	0	.596726
16	35	1	2.009767
6	30	0	2.304976
7	34	0	1.718122
3	34	0	2.050766
1	28	0	.6989844
28	34	1	1.344189
12	35	1	2.633248
36	34	0	1.134027
9	34	0	2.359195
47	35	1	4.483953
3	34	0	-.0418944
4	33	1	1.016626
8	32	0	1.712738
9	34	1	.7178843
157	34	1	2.747151
59	35	1	3.01754
1	34	0	3.121165
171	34	1	1.599882
65	34	0	1.779155
14	21	0	1.649378
20	21	0	3.914623
0	11	0	1.369451
299	28	0	2.111824
133	29	0	2.629069
28	30	0	1.913867
58	25	0	2.285461
3	35	1	2.067373
1184	25	0	3.437402
14	23	0	.3238304
5	34	0	.0832422
7	34	0	-.2793354
12	35	1	2.374225
1	6	2	-.7268757
1	35	2	.0264503
8	34	0	3.120838
1072	34	0	3.097841
6	34	0	2.000051
9	34	0	1.281734
33	34	1	3.1434
335	34	0	3.854585
1530	35	1	3.954025
189	34	0	2.7514
395	34	0	3.926444
65	34	0	2.380995
134	20	1	1.162773
22	34	0	1.056017
1461	35	2	1.475385
12	34	0	2.576166
1	19	0	2.1899
25	34	0	.3715667
1	33	0	-1.074705
0	33	0	.432898
93	32	0	2.766881
0	13	0	1.429796
7	13	0	1.544775
91	34	0	6.977083
0	35	1	.6788123
1	34	0	2.919336
119	35	1	3.709692
291	35	2	4.784486
2698	35	2	6.663758
1186	23	1	4.780852
139	34	0	3.596185
453	23	2	2.825716
130	34	1	2.861658
321	34	1	3.947263
10	28	0	2.151084
9	29	0	1.425294
24	34	0	2.774922
2	34	0	1.065715
1354	33	1	4.115993
255	35	1	5.135581
3	3	2	-.0104969
31	35	2	2.779955
38	30	2	1.330444
5	35	2	1.219339
0	27	2	-1.070725
3	8	2	-.2553296
